coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Bernie Bickerstaff,LAL,1,14,5,4,1,5,4,1,937,419,518,.447,,,,,,,33,12,21,2013
Mike D'Antoni,LAL,1,11,72,40,32,72,40,32,799,428,371,.536,4,0,4,4,0,4,59,26,33,2013
Lionel Hollins,MEM,7,7,82,56,26,415,214,201,415,214,201,.516,15,8,7,35,18,17,35,18,17,2013
Erik Spoelstra,MIA,5,5,82,66,16,394,260,134,394,260,134,.660,23,16,7,79,50,29,79,50,29,2013
Scott Skiles,MIL,5,13,32,16,16,344,162,182,876,443,433,.506,,,,7,3,4,42,18,24,2013
Jim Boylan,MIL,1,2,50,22,28,50,22,28,106,46,60,.434,4,0,4,4,0,4,4,0,4,2013
Rick Adelman,MIN,2,22,82,31,51,148,57,91,1709,1002,707,.586,,,,,,,157,79,78,2013
Monty Williams,NOH,3,3,82,27,55,230,94,136,230,94,136,.409,,,,6,2,4,6,2,4,2013
Mike Woodson,NYK,2,8,82,54,28,106,72,34,598,278,320,.465,12,6,6,17,7,10,46,18,28,2013
Scott Brooks,OKC,5,5,82,60,22,381,234,147,381,234,147,.614,11,5,6,54,29,25,54,29,25,2013
Jacque Vaughn,ORL,1,1,82,20,62,82,20,62,82,20,62,.244,,,,,,,,,,2013
Doug Collins,PHI,3,11,82,34,48,230,110,120,849,442,407,.521,,,,18,8,10,56,23,33,2013
Alvin Gentry,PHO,5,12,41,13,28,302,158,144,705,335,370,.475,,,,16,10,6,21,12,9,2013
Lindsey Hunter,PHO,1,1,41,12,29,41,12,29,41,12,29,.293,,,,,,,,,,2013
Terry Stotts,POR,1,5,82,33,49,82,33,49,365,148,217,.405,,,,,,,5,1,4,2013
Keith Smart,SAC,2,4,82,28,54,141,48,93,263,93,170,.354,,,,,,,,,,2013
Gregg Popovich,SAS,17,17,82,58,24,1328,905,423,1328,905,423,.681,21,15,6,216,133,83,216,133,83,2013
Dwane Casey,TOR,2,4,82,34,48,148,57,91,270,110,160,.407,,,,,,,,,,2013
Tyrone Corbin,UTA,3,3,82,43,39,176,87,89,176,87,89,.494,,,,4,0,4,4,0,4,2013
Randy Wittman,WAS,2,7,82,29,53,131,47,84,438,147,291,.336,,,,,,,,,,2013
Mike Budenholzer,ATL,1,1,82,38,44,82,38,44,82,38,44,.463,7,3,4,7,3,4,7,3,4,2014
Brad Stevens,BOS,1,1,82,25,57,82,25,57,82,25,57,.305,,,,,,,,,,2014
Jason Kidd,BRK,1,1,82,44,38,82,44,38,82,44,38,.537,12,5,7,12,5,7,12,5,7,2014
Steve Clifford,CHA,1,1,82,43,39,82,43,39,82,43,39,.524,4,0,4,4,0,4,4,0,4,2014
Tom Thibodeau,CHI,4,4,82,48,34,312,205,107,312,205,107,.657,5,1,4,39,17,22,39,17,22,2014
Mike Brown,CLE,6,8,82,33,49,492,305,187,563,347,216,.616,,,,71,42,29,83,47,36,2014
Rick Carlisle,DAL,6,12,82,49,33,476,288,188,968,569,399,.588,7,3,4,48,26,22,110,56,54,2014
Brian Shaw,DEN,1,1,82,36,46,82,36,46,82,36,46,.439,,,,,,,,,,2014
Maurice Cheeks,DET,1,9,50,21,29,50,21,29,620,305,315,.492,,,,,,,16,5,11,2014
John Loyer,DET,1,1,32,8,24,32,8,24,32,8,24,.250,,,,,,,,,,2014
Mark Jackson,GSW,3,3,82,51,31,230,121,109,230,121,109,.526,7,3,4,19,9,10,19,9,10,2014
Kevin McHale,HOU,3,5,82,54,28,230,133,97,324,172,152,.531,6,2,4,12,4,8,12,4,8,2014
Frank Vogel,IND,4,4,82,56,26,267,167,100,267,167,100,.625,19,10,9,54,28,26,54,28,26,2014
Doc Rivers,LAC,1,15,82,57,25,82,57,25,1142,644,498,.564,13,6,7,13,6,7,134,70,64,2014
Mike D'Antoni,LAL,2,12,82,27,55,154,67,87,881,455,426,.516,,,,4,0,4,59,26,33,2014
Dave Joerger,MEM,1,1,82,50,32,82,50,32,82,50,32,.610,7,3,4,7,3,4,7,3,4,2014
Erik Spoelstra,MIA,6,6,82,54,28,476,314,162,476,314,162,.660,20,13,7,99,63,36,99,63,36,2014
Larry Drew,MIL,1,4,82,15,67,82,15,67,312,143,169,.458,,,,,,,24,10,14,2014
Rick Adelman,MIN,3,23,82,40,42,230,97,133,1791,1042,749,.582,,,,,,,157,79,78,2014
Monty Williams,NOP,4,4,82,34,48,312,128,184,312,128,184,.410,,,,6,2,4,6,2,4,2014
Mike Woodson,NYK,3,9,82,37,45,188,109,79,680,315,365,.463,,,,17,7,10,46,18,28,2014
Scott Brooks,OKC,6,6,82,59,23,463,293,170,463,293,170,.633,19,10,9,73,39,34,73,39,34,2014
Jacque Vaughn,ORL,2,2,82,23,59,164,43,121,164,43,121,.262,,,,,,,,,,2014
Brett Brown,PHI,1,1,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,2014
Jeff Hornacek,PHO,1,1,82,48,34,82,48,34,82,48,34,.585,,,,,,,,,,2014
Terry Stotts,POR,2,6,82,54,28,164,87,77,447,202,245,.452,11,5,6,11,5,6,16,6,10,2014
Mike Malone,SAC,1,1,82,28,54,82,28,54,82,28,54,.341,,,,,,,,,,2014
Gregg Popovich,SAS,18,18,82,62,20,1410,967,443,1410,967,443,.686,23,16,7,239,149,90,239,149,90,2014
Dwane Casey,TOR,3,5,82,48,34,230,105,125,352,158,194,.449,7,3,4,7,3,4,7,3,4,2014
Tyrone Corbin,UTA,4,4,82,25,57,258,112,146,258,112,146,.434,,,,4,0,4,4,0,4,2014
Randy Wittman,WAS,3,8,82,44,38,213,91,122,520,191,329,.367,11,6,5,11,6,5,11,6,5,2014
Mike Budenholzer,ATL,2,2,82,60,22,164,98,66,164,98,66,.598,16,8,8,23,11,12,23,11,12,2015
Brad Stevens,BOS,2,2,82,40,42,164,65,99,164,65,99,.396,4,0,4,4,0,4,4,0,4,2015
Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,252,245,.507,6,2,4,6,2,4,41,20,21,2015
Tom Thibodeau,CHI,5,5,82,50,32,394,255,139,394,255,139,.647,12,6,6,51,23,28,51,23,28,2015
Steve Clifford,CHO,2,2,82,33,49,164,76,88,164,76,88,.463,,,,4,0,4,4,0,4,2015
David Blatt,CLE,1,1,82,53,29,82,53,29,82,53,29,.646,20,14,6,20,14,6,20,14,6,2015
Rick Carlisle,DAL,7,13,82,50,32,558,338,220,1050,619,431,.590,5,1,4,53,27,26,115,57,58,2015
Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,56,85,.397,,,,,,,,,,2015
Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,10,13,.435,,,,,,,,,,2015
Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,.610,,,,,,,87,48,39,2015
Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,67,15,.817,21,16,5,21,16,5,21,16,5,2015
Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,228,178,.562,17,9,8,29,13,16,29,13,16,2015
Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,.587,,,,54,28,26,54,28,26,2015
Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,.572,14,7,7,27,13,14,148,77,71,2015
Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,437,582,.429,,,,,,,57,33,24,2015
Dave Joerger,MEM,2,2,82,55,27,164,105,59,164,105,59,.640,11,6,5,18,9,9,18,9,9,2015
Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,351,207,.629,,,,99,63,36,99,63,36,2015
Jason Kidd,MIL,1,2,82,41,41,82,41,41,164,85,79,.518,6,2,4,6,2,4,18,7,11,2015
Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,654,592,.525,,,,47,17,30,98,47,51,2015
Monty Williams,NOP,5,5,82,45,37,394,173,221,394,173,221,.439,4,0,4,10,2,8,10,2,8,2015
Derek Fisher,NYK,1,1,82,17,65,82,17,65,82,17,65,.207,,,,,,,,,,2015
Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,338,207,.620,,,,73,39,34,73,39,34,2015
Jacque Vaughn,ORL,3,3,52,15,37,216,58,158,216,58,158,.269,,,,,,,,,,2015
James Borrego,ORL,1,1,30,10,20,30,10,20,30,10,20,.333,,,,,,,,,,2015
Brett Brown,PHI,2,2,82,18,64,164,37,127,164,37,127,.226,,,,,,,,,,2015
Jeff Hornacek,PHO,2,2,82,39,43,164,87,77,164,87,77,.530,,,,,,,,,,2015
Terry Stotts,POR,3,7,82,51,31,246,138,108,529,253,276,.478,5,1,4,16,6,10,21,7,14,2015
Mike Malone,SAC,2,2,24,11,13,106,39,67,106,39,67,.368,,,,,,,,,,2015
Tyrone Corbin,SAC,1,5,28,7,21,28,7,21,286,119,167,.416,,,,,,,4,0,4,2015
George Karl,SAC,1,26,30,11,19,30,11,19,1917,1142,775,.596,,,,,,,185,80,105,2015
Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,1022,470,.685,7,3,4,246,152,94,246,152,94,2015
Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,207,227,.477,4,0,4,11,3,8,11,3,8,2015
Quin Snyder,UTA,1,1,82,38,44,82,38,44,82,38,44,.463,,,,,,,,,,2015
Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,237,365,.394,10,6,4,21,12,9,21,12,9,2015
Mike Budenholzer,ATL,3,3,82,48,34,246,146,100,246,146,100,.593,10,4,6,33,15,18,33,15,18,2016
Brad Stevens,BOS,3,3,82,48,34,246,113,133,246,113,133,.459,6,2,4,10,2,8,10,2,8,2016
Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,262,272,.491,,,,6,2,4,41,20,21,2016
Tony Brown,BRK,1,1,45,11,34,45,11,34,45,11,34,.244,,,,,,,,,,2016
Fred Hoiberg,CHI,1,1,82,42,40,82,42,40,82,42,40,.512,,,,,,,,,,2016
Steve Clifford,CHO,3,3,82,48,34,246,124,122,246,124,122,.504,7,3,4,11,3,8,11,3,8,2016
David Blatt,CLE,2,2,41,30,11,123,83,40,123,83,40,.675,,,,20,14,6,20,14,6,2016
Tyronn Lue,CLE,1,1,41,27,14,41,27,14,41,27,14,.659,21,16,5,21,16,5,21,16,5,2016
Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,661,471,.584,5,1,4,58,28,30,120,58,62,2016
Mike Malone,DEN,1,3,82,33,49,82,33,49,188,72,116,.383,,,,,,,,,,2016
Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,447,296,.602,4,0,4,4,0,4,91,48,43,2016
Steve Kerr,GSW,2,2,82,73,9,164,140,24,164,140,24,.854,24,15,9,45,31,14,45,31,14,2016
Kevin McHale,HOU,5,7,11,4,7,323,193,130,417,232,185,.556,,,,29,13,16,29,13,16,2016
J.B. Bickerstaff,HOU,1,1,71,37,34,71,37,34,71,37,34,.521,5,1,4,5,1,4,5,1,4,2016
Frank Vogel,IND,6,6,82,45,37,431,250,181,431,250,181,.580,7,3,4,61,31,30,61,31,30,2016
Doc Rivers,LAC,3,17,82,53,29,246,166,80,1306,753,553,.577,6,2,4,33,15,18,154,79,75,2016
Byron Scott,LAL,2,15,82,17,65,164,38,126,1101,454,647,.412,,,,,,,57,33,24,2016
Dave Joerger,MEM,3,3,82,42,40,246,147,99,246,147,99,.598,4,0,4,22,9,13,22,9,13,2016
Erik Spoelstra,MIA,8,8,82,48,34,640,399,241,640,399,241,.623,14,7,7,113,70,43,113,70,43,2016
Jason Kidd,MIL,2,3,82,33,49,164,74,90,246,118,128,.480,,,,6,2,4,18,7,11,2016
Sam Mitchell,MIN,1,6,82,29,53,82,29,53,427,185,242,.433,,,,,,,11,3,8,2016
Alvin Gentry,NOP,1,13,82,30,52,82,30,52,787,365,422,.464,,,,,,,21,12,9,2016
Derek Fisher,NYK,2,2,54,23,31,136,40,96,136,40,96,.294,,,,,,,,,,2016
Kurt Rambis,NYK,1,4,28,9,19,28,9,19,229,65,164,.284,,,,,,,8,3,5,2016
Billy Donovan,OKC,1,1,82,55,27,82,55,27,82,55,27,.671,18,11,7,18,11,7,18,11,7,2016
Scott Skiles,ORL,1,14,82,35,47,82,35,47,958,478,480,.499,,,,,,,42,18,24,2016
Brett Brown,PHI,3,3,82,10,72,246,47,199,246,47,199,.191,,,,,,,,,,2016
Jeff Hornacek,PHO,3,3,49,14,35,213,101,112,213,101,112,.474,,,,,,,,,,2016
Earl Watson,PHO,1,1,33,9,24,33,9,24,33,9,24,.273,,,,,,,,,,2016
Terry Stotts,POR,4,8,82,44,38,328,182,146,611,297,314,.486,11,5,6,27,11,16,32,12,20,2016
George Karl,SAC,2,27,82,33,49,112,44,68,1999,1175,824,.588,,,,,,,185,80,105,2016
Gregg Popovich,SAS,20,20,82,67,15,1574,1089,485,1574,1089,485,.692,10,6,4,256,158,98,256,158,98,2016
Dwane Casey,TOR,5,7,82,56,26,394,210,184,516,263,253,.510,20,10,10,31,13,18,31,13,18,2016
Quin Snyder,UTA,2,2,82,40,42,164,78,86,164,78,86,.476,,,,,,,,,,2016
Randy Wittman,WAS,5,10,82,41,41,377,178,199,684,278,406,.406,,,,21,12,9,21,12,9,2016
Mike Budenholzer,ATL,4,4,82,43,39,328,189,139,328,189,139,.576,6,2,4,39,17,22,39,17,22,2017
Brad Stevens,BOS,4,4,82,53,29,328,166,162,328,166,162,.506,18,9,9,28,11,17,28,11,17,2017
Kenny Atkinson,BRK,1,1,82,20,62,82,20,62,82,20,62,.244,,,,,,,,,,2017
Fred Hoiberg,CHI,2,2,82,41,41,164,83,81,164,83,81,.506,6,2,4,6,2,4,6,2,4,2017
Steve Clifford,CHO,4,4,82,36,46,328,160,168,328,160,168,.488,,,,11,3,8,11,3,8,2017
Tyronn Lue,CLE,2,2,82,51,31,123,78,45,123,78,45,.634,18,13,5,39,29,10,39,29,10,2017
Rick Carlisle,DAL,9,15,82,33,49,722,413,309,1214,694,520,.572,,,,58,28,30,120,58,62,2017
Mike Malone,DEN,2,4,82,40,42,164,73,91,270,112,158,.415,,,,,,,,,,2017
Stan Van Gundy,DET,3,11,82,37,45,246,113,133,825,484,341,.587,,,,4,0,4,91,48,43,2017
Steve Kerr,GSW,3,3,82,67,15,246,207,39,246,207,39,.841,17,16,1,62,47,15,62,47,15,2017
Mike D'Antoni,HOU,1,13,82,55,27,82,55,27,963,510,453,.530,11,6,5,11,6,5,70,32,38,2017
Nate McMillan,IND,1,13,82,42,40,82,42,40,1012,520,492,.514,4,0,4,4,0,4,38,14,24,2017
Doc Rivers,LAC,4,18,82,51,31,328,217,111,1388,804,584,.579,7,3,4,40,18,22,161,82,79,2017
Luke Walton,LAL,1,1,82,26,56,82,26,56,82,26,56,.317,,,,,,,,,,2017
David Fizdale,MEM,1,1,82,43,39,82,43,39,82,43,39,.524,6,2,4,6,2,4,6,2,4,2017
Erik Spoelstra,MIA,9,9,82,41,41,722,440,282,722,440,282,.609,,,,113,70,43,113,70,43,2017
Jason Kidd,MIL,3,4,82,42,40,246,116,130,328,160,168,.488,6,2,4,12,4,8,24,9,15,2017
Tom Thibodeau,MIN,1,6,82,31,51,82,31,51,476,286,190,.601,,,,,,,51,23,28,2017
Alvin Gentry,NOP,2,14,82,34,48,164,64,100,869,399,470,.459,,,,,,,21,12,9,2017
Jeff Hornacek,NYK,1,4,82,31,51,82,31,51,295,132,163,.447,,,,,,,,,,2017
Billy Donovan,OKC,2,2,82,47,35,164,102,62,164,102,62,.622,5,1,4,23,12,11,23,12,11,2017
Frank Vogel,ORL,1,7,82,29,53,82,29,53,513,279,234,.544,,,,,,,61,31,30,2017
Brett Brown,PHI,4,4,82,28,54,328,75,253,328,75,253,.229,,,,,,,,,,2017
Earl Watson,PHO,2,2,82,24,58,115,33,82,115,33,82,.287,,,,,,,,,,2017
Terry Stotts,POR,5,9,82,41,41,410,223,187,693,338,355,.488,4,0,4,31,11,20,36,12,24,2017
Dave Joerger,SAC,1,4,82,32,50,82,32,50,328,179,149,.546,,,,,,,22,9,13,2017
Gregg Popovich,SAS,21,21,82,61,21,1656,1150,506,1656,1150,506,.694,16,8,8,272,166,106,272,166,106,2017
Dwane Casey,TOR,6,8,82,51,31,476,261,215,598,314,284,.525,10,4,6,41,17,24,41,17,24,2017
Quin Snyder,UTA,3,3,82,51,31,246,129,117,246,129,117,.524,11,4,7,11,4,7,11,4,7,2017
Scott Brooks,WAS,1,8,82,49,33,82,49,33,627,387,240,.617,13,7,6,13,7,6,86,46,40,2017
Mike Budenholzer,ATL,5,5,82,24,58,410,213,197,410,213,197,.520,,,,39,17,22,39,17,22,2018
Brad Stevens,BOS,5,5,82,55,27,410,221,189,410,221,189,.539,19,11,8,47,22,25,47,22,25,2018
Kenny Atkinson,BRK,2,2,82,28,54,164,48,116,164,48,116,.293,,,,,,,,,,2018
Fred Hoiberg,CHI,3,3,82,27,55,246,110,136,246,110,136,.447,,,,6,2,4,6,2,4,2018
Steve Clifford,CHO,5,5,82,36,46,410,196,214,410,196,214,.478,,,,11,3,8,11,3,8,2018
Tyronn Lue,CLE,3,3,82,50,32,205,128,77,205,128,77,.624,22,12,10,61,41,20,61,41,20,2018
Rick Carlisle,DAL,10,16,82,24,58,804,437,367,1296,718,578,.554,,,,58,28,30,120,58,62,2018
Mike Malone,DEN,3,5,82,46,36,246,119,127,352,158,194,.449,,,,,,,,,,2018
Stan Van Gundy,DET,4,12,82,39,43,328,152,176,907,523,384,.577,,,,4,0,4,91,48,43,2018
Steve Kerr,GSW,4,4,82,58,24,328,265,63,328,265,63,.808,21,16,5,83,63,20,83,63,20,2018
Mike D'Antoni,HOU,2,14,82,65,17,164,120,44,1045,575,470,.550,17,11,6,28,17,11,87,43,44,2018
Nate McMillan,IND,2,14,82,48,34,164,90,74,1094,568,526,.519,7,3,4,11,3,8,45,17,28,2018
Doc Rivers,LAC,5,19,82,42,40,410,259,151,1470,846,624,.576,,,,40,18,22,161,82,79,2018
Luke Walton,LAL,2,2,82,35,47,164,61,103,164,61,103,.372,,,,,,,,,,2018
David Fizdale,MEM,2,2,19,7,12,101,50,51,101,50,51,.495,,,,6,2,4,6,2,4,2018
J.B. Bickerstaff,MEM,1,2,63,15,48,63,15,48,134,52,82,.388,,,,,,,5,1,4,2018
Erik Spoelstra,MIA,10,10,82,44,38,804,484,320,804,484,320,.602,5,1,4,118,71,47,118,71,47,2018
Jason Kidd,MIL,4,5,45,23,22,291,139,152,373,183,190,.491,,,,12,4,8,24,9,15,2018
Joe Prunty,MIL,1,1,37,21,16,37,21,16,37,21,16,.568,7,3,4,7,3,4,7,3,4,2018
Tom Thibodeau,MIN,2,7,82,47,35,164,78,86,558,333,225,.597,5,1,4,5,1,4,56,24,32,2018
Alvin Gentry,NOP,3,15,82,48,34,246,112,134,951,447,504,.470,9,5,4,9,5,4,30,17,13,2018
Jeff Hornacek,NYK,2,5,82,29,53,164,60,104,377,161,216,.427,,,,,,,,,,2018
Billy Donovan,OKC,3,3,82,48,34,246,150,96,246,150,96,.610,6,2,4,29,14,15,29,14,15,2018
Frank Vogel,ORL,2,8,82,25,57,164,54,110,595,304,291,.511,,,,,,,61,31,30,2018
Brett Brown,PHI,5,5,82,52,30,410,127,283,410,127,283,.310,10,5,5,10,5,5,10,5,5,2018
Earl Watson,PHO,3,3,3,0,3,118,33,85,118,33,85,.280,,,,,,,,,,2018
Jay Triano,PHO,1,4,79,21,58,79,21,58,308,108,200,.351,,,,,,,,,,2018
Terry Stotts,POR,6,10,82,49,33,492,272,220,775,387,388,.499,4,0,4,35,11,24,40,12,28,2018
Dave Joerger,SAC,2,5,82,27,55,164,59,105,410,206,204,.502,,,,,,,22,9,13,2018
Gregg Popovich,SAS,22,22,82,47,35,1738,1197,541,1738,1197,541,.689,5,1,4,277,167,110,277,167,110,2018
Dwane Casey,TOR,7,9,82,59,23,558,320,238,680,373,307,.549,10,4,6,51,21,30,51,21,30,2018
Quin Snyder,UTA,4,4,82,48,34,328,177,151,328,177,151,.540,11,5,6,22,9,13,22,9,13,2018
Scott Brooks,WAS,2,9,82,43,39,164,92,72,709,430,279,.606,6,2,4,19,9,10,92,48,44,2018
Lloyd Pierce,ATL,1,1,82,29,53,82,29,53,82,29,53,.354,,,,,,,,,,2019
Brad Stevens,BOS,6,6,82,49,33,492,270,222,492,270,222,.549,9,5,4,56,27,29,56,27,29,2019
Kenny Atkinson,BRK,3,3,82,42,40,246,90,156,246,90,156,.366,5,1,4,5,1,4,5,1,4,2019
Fred Hoiberg,CHI,4,4,24,5,19,270,115,155,270,115,155,.426,,,,6,2,4,6,2,4,2019
Jim Boylen,CHI,1,1,58,17,41,58,17,41,58,17,41,.293,,,,,,,,,,2019
James Borrego,CHO,1,2,82,39,43,82,39,43,112,49,63,.438,,,,,,,,,,2019
Tyronn Lue,CLE,4,4,6,0,6,211,128,83,211,128,83,.607,,,,61,41,20,61,41,20,2019
Larry Drew,CLE,1,5,76,19,57,76,19,57,388,162,226,.418,,,,,,,24,10,14,2019
Rick Carlisle,DAL,11,17,82,33,49,886,470,416,1378,751,627,.545,,,,58,28,30,120,58,62,2019
Mike Malone,DEN,4,6,82,54,28,328,173,155,434,212,222,.488,14,7,7,14,7,7,14,7,7,2019
Dwane Casey,DET,1,10,82,41,41,82,41,41,762,414,348,.543,4,0,4,4,0,4,55,21,34,2019
Steve Kerr,GSW,5,5,82,57,25,410,322,88,410,322,88,.785,22,14,8,105,77,28,105,77,28,2019
Mike D'Antoni,HOU,3,15,82,53,29,246,173,73,1127,628,499,.557,11,6,5,39,23,16,98,49,49,2019
Nate McMillan,IND,3,15,82,48,34,246,138,108,1176,616,560,.524,4,0,4,15,3,12,49,17,32,2019
Doc Rivers,LAC,6,20,82,48,34,492,307,185,1552,894,658,.576,6,2,4,46,20,26,167,84,83,2019
Luke Walton,LAL,3,3,82,37,45,246,98,148,246,98,148,.398,,,,,,,,,,2019
J.B. Bickerstaff,MEM,2,3,82,33,49,145,48,97,216,85,131,.394,,,,,,,5,1,4,2019
Erik Spoelstra,MIA,11,11,82,39,43,886,523,363,886,523,363,.590,,,,118,71,47,118,71,47,2019
Mike Budenholzer,MIL,1,6,82,60,22,82,60,22,492,273,219,.555,15,10,5,15,10,5,54,27,27,2019
Tom Thibodeau,MIN,3,8,40,19,21,204,97,107,598,352,246,.589,,,,5,1,4,56,24,32,2019
Ryan Saunders,MIN,1,1,42,17,25,42,17,25,42,17,25,.405,,,,,,,,,,2019
Alvin Gentry,NOP,4,16,82,33,49,328,145,183,1033,480,553,.465,,,,9,5,4,30,17,13,2019
David Fizdale,NYK,1,3,82,17,65,82,17,65,183,67,116,.366,,,,,,,6,2,4,2019
Billy Donovan,OKC,4,4,82,49,33,328,199,129,328,199,129,.607,5,1,4,34,15,19,34,15,19,2019
Steve Clifford,ORL,1,6,82,42,40,82,42,40,492,238,254,.484,5,1,4,5,1,4,16,4,12,2019
Brett Brown,PHI,6,6,82,51,31,492,178,314,492,178,314,.362,12,7,5,22,12,10,22,12,10,2019
Igor Kokoskov,PHO,1,1,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,2019
Terry Stotts,POR,7,11,82,53,29,574,325,249,857,440,417,.513,16,8,8,51,19,32,56,20,36,2019
Dave Joerger,SAC,3,6,82,39,43,246,98,148,492,245,247,.498,,,,,,,22,9,13,2019
Gregg Popovich,SAS,23,23,82,48,34,1820,1245,575,1820,1245,575,.684,7,3,4,284,170,114,284,170,114,2019
Nick Nurse,TOR,1,1,82,58,24,82,58,24,82,58,24,.707,24,16,8,24,16,8,24,16,8,2019
Quin Snyder,UTA,5,5,82,50,32,410,227,183,410,227,183,.554,5,1,4,27,10,17,27,10,17,2019
Scott Brooks,WAS,3,10,82,32,50,246,124,122,791,462,329,.584,,,,19,9,10,92,48,44,2019
