Team,Season,Total Roster,Wins,Losses,Team Achievement,All-Star,MVP,Avg. Age
Toronto Raptors,2019-2020,15,49,19,N/A,1,0,25.5
Utah Jazz,2019-2020,15,43,27,N/A,2,0,25.4
Brooklyn Nets,2019-2020,16,33,36,N/A,0,0,25.6
Philadelphia Sixers,2019-2020,15,42,27,N/A,1,0,25.4
Houston Rockets,2019-2020,15,43,25,N/A,1,0,29
Chicago Bulls,2019-2020,15,22,43,N/A,0,0,24
Sacramento Kings,2019-2020,15,29,40,N/A,0,0,25.5
Los Angeles Lakers,2019-2020,15,51,18,N/A,0,0,28.3
San Antonio Spurs,2019-2020,15,30,38,N/A,0,0,25.7
Los Angeles Clippers,2019-2020,15,47,22,N/A,0,0,27.2
Milwaukee Bucks,2019-2020,15,55,15,N/A,1,0,28.7
Oklahoma City Thunder,2019-2020,15,42,26,N/A,1,0,24.3
New Orleans Pelicans,2019-2020,15,30,39,N/A,1,0,24.6
Denver Nuggets,2019-2020,15,46,24,N/A,1,0,25
Washington Wizards,2019-2020,15,24,45,N/A,0,0,24.4
Atlanta Hawks,2019-2020,15,20,47,N/A,0,0,24.6
Dallas Mavericks,2019-2020,16,42,30,N/A,0,0,26.6
Memphis Grizzlies,2019-2020,15,33,37,N/A,0,0,23.5
Miami Heat,2019-2020,15,43,27,N/A,2,0,26.6
Portland Trail Blazers,2019-2020,14,32,39,N/A,1,0,25.1
Detroit Pistons,2019-2020,15,20,46,N/A,0,0,24.7
Cleveland Cavaliers,2019-2020,15,19,46,N/A,0,0,24
Orlando Magic,2019-2020,15,32,38,N/A,0,0,25.3
Charlotte Hornets,2019-2020,13,23,42,N/A,0,0,23.7
Phoenix Suns,2019-2020,15,31,39,N/A,1,0,23.5
Golden State Warriors,2019-2020,13,15,50,N/A,0,0,24.2
Minnesota Timberwolves,2019-2020,14,19,45,N/A,0,0,22.9
New York Knicks,2019-2020,15,21,45,N/A,0,0,23.9
Boston Celtics,2019-2020,15,46,23,N/A,1,0,24.3
Indiana Pacers,2019-2020,15,43,27,N/A,1,0,24.6
Toronto Raptors,2018-2019,15,58,24,NBA Champion,2,0,26.7
Memphis Grizzlies,2018-2019,16,33,49,Lottery,0,0,25.6
Golden State Warriors,2018-2019,15,57,25,NBA Finals (Loss),3,0,27.4
Boston Celtics,2018-2019,15,49,33,Second Round,1,0,25.5
Washington Wizards,2018-2019,15,32,50,Lottery,1,0,26
Indiana Pacers,2018-2019,15,48,34,First Round,1,0,25.5
Sacramento Kings,2018-2019,15,39,43,Lottery,0,0,24.5
Brooklyn Nets,2018-2019,15,42,40,First Round,1,0,24.6
Los Angeles Clippers,2018-2019,14,48,34,First Round,0,0,25.6
San Antonio Spurs,2018-2019,15,48,34,First Round,1,0,26.5
Charlotte Hornets,2018-2019,15,39,43,Lottery,1,0,25.7
Houston Rockets,2018-2019,15,53,29,Second Round,1,0,27.2
Oklahoma City Thunder,2018-2019,14,49,33,First Round,2,0,25.5
Philadelphia Sixers,2018-2019,15,51,31,Second Round,2,0,26.1
Cleveland Cavaliers,2018-2019,15,19,63,Lottery,0,0,25.8
Utah Jazz,2018-2019,15,50,32,First Round,0,0,26.6
Los Angeles Lakers,2018-2019,15,37,45,Lottery,1,0,25.5
Denver Nuggets,2018-2019,15,54,28,Second Round,1,0,23.9
Milwaukee Bucks,2018-2019,15,60,22,Conference Finals,2,1,26.9
Phoenix Suns,2018-2019,15,19,63,Lottery,0,0,23.5
Atlanta Hawks,2018-2019,15,29,53,Lottery,0,0,24.3
Dallas Mavericks,2018-2019,15,33,49,Lottery,1,0,27.5
Detroit Pistons,2018-2019,15,41,41,First Round,1,0,26.4
Minnesota Timberwolves,2018-2019,16,36,46,Lottery,1,0,26.3
Miami Heat,2018-2019,15,39,43,Lottery,1,0,26.8
Orlando Magic,2018-2019,15,42,40,First Round,1,0,24.5
Chicago Bulls,2018-2019,15,22,60,Lottery,0,0,23.5
New York Knicks,2018-2019,15,17,65,Lottery,0,0,22.9
New Orleans Pelicans,2018-2019,15,33,49,Lottery,1,0,24.5
Portland Trail Blazers,2018-2019,15,53,29,Conference Finals,1,0,24.4
Washington Wizards,2017-2018,15,43,39,First Round,2,0,27.1
Memphis Grizzlies,2017-2018,15,22,60,Lottery,0,0,25.4
Golden State Warriors,2017-2018,15,58,24,NBA Champion,4,0,27.6
Boston Celtics,2017-2018,16,55,27,Conference Finals,2,0,24.7
Cleveland Cavaliers,2017-2018,15,50,32,NBA Finals (Loss),2,0,28
Indiana Pacers,2017-2018,15,48,34,First Round,1,0,24.9
Oklahoma City Thunder,2017-2018,15,48,34,First Round,2,0,26.9
Phoenix Suns,2017-2018,15,21,61,Lottery,0,0,23.6
Denver Nuggets,2017-2018,15,46,36,Lottery,0,0,25.9
Philadelphia Sixers,2017-2018,15,52,30,Second Round,1,0,24.9
New York Knicks,2017-2018,15,29,53,Lottery,1,0,25.5
Minnesota Timberwolves,2017-2018,15,47,35,First Round,2,0,26.5
Orlando Magic,2017-2018,15,25,57,Lottery,0,0,25.1
Charlotte Hornets,2017-2018,14,36,46,Lottery,1,0,25.1
Houston Rockets,2017-2018,15,65,17,Conference Finals,1,1,28.6
San Antonio Spurs,2017-2018,15,47,35,First Round,1,0,28
Toronto Raptors,2017-2018,15,59,23,Second Round,2,0,24.7
Los Angeles Lakers,2017-2018,15,35,47,Lottery,0,0,24.6
Utah Jazz,2017-2018,15,48,34,Second Round,0,0,25.6
New Orleans Pelicans,2017-2018,15,48,34,Second Round,2,0,26.6
Los Angeles Clippers,2017-2018,15,42,40,Lottery,0,0,26.2
Sacramento Kings,2017-2018,15,27,55,Lottery,0,0,25.2
Dallas Mavericks,2017-2018,15,24,58,Lottery,0,0,26.3
Milwaukee Bucks,2017-2018,15,44,38,First Round,1,0,25.2
Detroit Pistons,2017-2018,15,39,43,Lottery,1,0,26.1
Miami Heat,2017-2018,15,44,38,First Round,1,0,26.9
Chicago Bulls,2017-2018,15,27,55,Lottery,0,0,24.2
Brooklyn Nets,2017-2018,15,28,54,Lottery,0,0,24.6
Portland Trail Blazers,2017-2018,15,49,33,First Round,1,0,23.7
Atlanta Hawks,2017-2018,15,24,58,Lottery,0,0,23.9
Miami Heat,2016-2017,15,41,41,Lottery,0,0,26.6
Charlotte Hornets,2016-2017,15,36,46,Lottery,1,0,25.3
Memphis Grizzlies,2016-2017,15,43,39,First Round,1,0,26.7
Golden State Warriors,2016-2017,15,67,15,NBA Champion,4,0,27.2
Boston Celtics,2016-2017,15,53,29,Conference Finals,1,0,24.7
Orlando Magic,2016-2017,15,29,53,Lottery,0,0,24.7
Indiana Pacers,2016-2017,15,42,40,First Round,1,0,26.1
Los Angeles Lakers,2016-2017,15,26,56,Lottery,0,0,25
Phoenix Suns,2016-2017,15,24,58,Lottery,0,0,24.7
Denver Nuggets,2016-2017,15,40,42,Lottery,0,0,25.3
New York Knicks,2016-2017,15,31,51,Lottery,1,0,26.2
Washington Wizards,2016-2017,15,49,33,Second Round,1,0,24.9
Sacramento Kings,2016-2017,15,32,50,Lottery,1,0,25.3
Cleveland Cavaliers,2016-2017,15,51,31,NBA Finals (Loss),3,0,29.1
Los Angeles Clippers,2016-2017,15,51,31,First Round,1,0,29.1
San Antonio Spurs,2016-2017,15,61,21,Conference Finals,1,0,28.3
Toronto Raptors,2016-2017,15,51,31,Second Round,2,0,24.7
Brooklyn Nets,2016-2017,15,20,62,Lottery,0,0,24.9
Philadelphia Sixers,2016-2017,16,28,54,Lottery,0,0,23.8
Atlanta Hawks,2016-2017,15,43,39,First Round,1,0,27.6
Chicago Bulls,2016-2017,15,41,41,First Round,1,0,25.3
Houston Rockets,2016-2017,15,55,27,Second Round,1,0,25.5
Utah Jazz,2016-2017,15,51,31,Second Round,1,0,25.7
Dallas Mavericks,2016-2017,15,33,49,Lottery,0,0,26.5
Oklahoma City Thunder,2016-2017,15,47,35,First Round,1,1,25.1
Milwaukee Bucks,2016-2017,15,42,40,First Round,1,0,24.9
Detroit Pistons,2016-2017,15,37,45,Lottery,0,0,25
Minnesota Timberwolves,2016-2017,15,31,51,Lottery,0,0,24.9
New Orleans Pelicans,2016-2017,15,34,48,Lottery,1,0,25.5
Portland Trail Blazers,2016-2017,15,41,41,First Round,0,0,23.8
Philadelphia Sixers,2015-2016,15,10,72,Lottery,0,0,23.6
Miami Heat,2015-2016,15,48,34,Second Round,2,0,27.9
Washington Wizards,2015-2016,15,41,41,Lottery,1,0,27
Memphis Grizzlies,2015-2016,16,42,40,First Round,0,0,27.8
Oklahoma City Thunder,2015-2016,15,55,27,Conference Finals,2,0,26.2
Atlanta Hawks,2015-2016,15,48,34,Second Round,2,0,27.3
Los Angeles Clippers,2015-2016,15,53,29,First Round,1,0,28.6
Brooklyn Nets,2015-2016,15,21,61,Lottery,0,0,24.6
Indiana Pacers,2015-2016,15,45,37,First Round,1,0,25.4
Houston Rockets,2015-2016,15,41,41,First Round,1,0,25.9
Denver Nuggets,2015-2016,15,33,49,Lottery,0,0,24.8
Sacramento Kings,2015-2016,15,33,49,Lottery,1,0,25.9
Chicago Bulls,2015-2016,15,42,40,Lottery,2,0,26.5
Orlando Magic,2015-2016,14,35,47,Lottery,0,0,24.1
New York Knicks,2015-2016,15,32,50,Lottery,1,0,26.2
Portland Trail Blazers,2015-2016,15,44,38,Second Round,0,0,24
Golden State Warriors,2015-2016,15,73,9,NBA Finals (Loss),3,1,26.7
Charlotte Hornets,2015-2016,15,48,34,First Round,0,0,25.2
Dallas Mavericks,2015-2016,15,42,40,First Round,0,0,29
San Antonio Spurs,2015-2016,15,67,15,Second Round,2,0,30.7
Toronto Raptors,2015-2016,15,56,26,Conference Finals,2,0,25.2
Cleveland Cavaliers,2015-2016,15,57,25,NBA Champion,1,0,28.6
Milwaukee Bucks,2015-2016,15,33,49,Lottery,0,0,23.6
Phoenix Suns,2015-2016,14,23,59,Lottery,0,0,25
Los Angeles Lakers,2015-2016,14,17,65,Lottery,1,0,26.7
Boston Celtics,2015-2016,15,48,34,First Round,1,0,23.8
Minnesota Timberwolves,2015-2016,14,29,53,Lottery,0,0,25.3
Detroit Pistons,2015-2016,15,44,38,First Round,1,0,25.2
New Orleans Pelicans,2015-2016,18,30,52,Lottery,1,0,26
Utah Jazz,2015-2016,15,40,42,Lottery,0,0,23.6
Sacramento Kings,2014-2015,15,29,53,Lottery,1,0,26.1
Los Angeles Clippers,2014-2015,15,56,26,Second Round,2,0,28.1
Miami Heat,2014-2015,15,37,45,Lottery,2,0,27.3
Washington Wizards,2014-2015,15,46,36,Second Round,1,0,28
Memphis Grizzlies,2014-2015,15,55,27,Second Round,1,0,26.9
Oklahoma City Thunder,2014-2015,15,45,37,Lottery,2,0,24.7
Atlanta Hawks,2014-2015,15,60,22,Conference Finals,4,0,26.9
Brooklyn Nets,2014-2015,15,38,44,First Round,0,0,26.2
Indiana Pacers,2014-2015,15,38,44,Lottery,0,0,27.4
Houston Rockets,2014-2015,15,56,26,Conference Finals,1,0,26.4
Milwaukee Bucks,2014-2015,15,41,41,First Round,0,0,23.4
Phoenix Suns,2014-2015,15,39,43,Lottery,0,0,25.1
Denver Nuggets,2014-2015,14,30,52,Lottery,0,0,24.6
San Antonio Spurs,2014-2015,15,55,27,First Round,1,0,28.4
Chicago Bulls,2014-2015,14,50,32,Second Round,2,0,27.6
New York Knicks,2014-2015,15,17,65,Lottery,1,0,25.4
Portland Trail Blazers,2014-2015,15,51,31,First Round,2,0,26.3
Golden State Warriors,2014-2015,15,67,15,NBA Champion,2,1,26.2
Charlotte Hornets,2014-2015,15,33,49,Lottery,0,0,24.6
Dallas Mavericks,2014-2015,15,50,32,First Round,1,0,28.6
Toronto Raptors,2014-2015,15,49,33,First Round,1,0,25.4
Orlando Magic,2014-2015,15,25,57,Lottery,0,0,24.4
Detroit Pistons,2014-2015,15,32,50,Lottery,0,0,26.5
Boston Celtics,2014-2015,15,40,42,First Round,0,0,24.2
Cleveland Cavaliers,2014-2015,15,53,29,NBA Finals (Loss),2,0,28.1
Los Angeles Lakers,2014-2015,15,21,61,Lottery,1,0,25.7
Philadelphia Sixers,2014-2015,14,18,64,Lottery,0,0,22.7
Minnesota Timberwolves,2014-2015,16,16,66,Lottery,0,0,25
New Orleans Pelicans,2014-2015,14,45,37,First Round,1,0,25.1
Utah Jazz,2014-2015,14,38,44,Lottery,0,0,22.7
Miami Heat,2013-2014,15,54,28,NBA Finals (Loss),3,0,29.4
Sacramento Kings,2013-2014,15,28,54,Lottery,0,0,25.5
Los Angeles Clippers,2013-2014,14,57,25,Second Round,2,0,28.2
Charlotte Hornets,2013-2014,15,43,39,First Round,0,0,26.1
Milwaukee Bucks,2013-2014,15,15,67,Lottery,0,0,24.5
Memphis Grizzlies,2013-2014,15,50,32,First Round,0,0,27.1
Oklahoma City Thunder,2013-2014,15,59,23,Conference Finals,1,1,25.5
Atlanta Hawks,2013-2014,14,38,44,First Round,1,0,26.1
Boston Celtics,2013-2014,15,25,57,Lottery,0,0,25.6
Philadelphia Sixers,2013-2014,15,19,63,Lottery,0,0,22.9
Detroit Pistons,2013-2014,15,29,53,Lottery,0,0,25.1
Minnesota Timberwolves,2013-2014,15,40,42,Lottery,1,0,25.6
Dallas Mavericks,2013-2014,15,49,33,First Round,1,0,27.7
Denver Nuggets,2013-2014,15,36,46,Lottery,0,0,24.7
San Antonio Spurs,2013-2014,15,62,20,NBA Champion,1,0,27.7
Chicago Bulls,2013-2014,15,48,34,First Round,1,0,28.1
New Orleans Pelicans,2013-2014,16,34,48,Lottery,1,0,24.3
Orlando Magic,2013-2014,13,23,59,Lottery,0,0,24.2
Los Angeles Lakers,2013-2014,15,27,55,Lottery,1,0,26.8
Golden State Warriors,2013-2014,15,51,31,First Round,1,0,26
Utah Jazz,2013-2014,15,25,57,Lottery,0,0,24.1
Brooklyn Nets,2013-2014,15,44,38,Second Round,1,0,28.4
New York Knicks,2013-2014,15,37,45,Lottery,1,0,27.7
Washington Wizards,2013-2014,15,44,38,Second Round,1,0,26.3
Portland Trail Blazers,2013-2014,15,54,28,Second Round,2,0,24.8
Toronto Raptors,2013-2014,15,48,34,First Round,1,0,25.7
Phoenix Suns,2013-2014,15,48,34,Lottery,0,0,25.5
Cleveland Cavaliers,2013-2014,15,33,49,Lottery,1,0,23.8
Indiana Pacers,2013-2014,15,56,26,Conference Finals,2,0,26.7
Houston Rockets,2013-2014,15,54,28,First Round,2,0,24.4
Golden State Warriors,2012-2013,15,47,35,Second Round,1,0,25.2
Orlando Magic,2012-2013,14,20,62,Lottery,0,0,24.6
Charlotte Hornets,2012-2013,15,21,61,Lottery,0,0,25.3
Toronto Raptors,2012-2013,15,34,48,Lottery,0,0,25.2
Memphis Grizzlies,2012-2013,15,56,26,Conference Finals,1,0,25.3
Oklahoma City Thunder,2012-2013,15,60,22,Second Round,2,0,25.3
Atlanta Hawks,2012-2013,15,44,38,First Round,0,0,26.4
Boston Celtics,2012-2013,15,41,40,First Round,2,0,26.7
Philadelphia Sixers,2012-2013,15,34,48,Lottery,1,0,25.4
Detroit Pistons,2012-2013,14,29,53,Lottery,0,0,25
Denver Nuggets,2012-2013,15,57,25,First Round,0,0,24.1
Phoenix Suns,2012-2013,15,25,57,Lottery,0,0,25.9
Dallas Mavericks,2012-2013,15,41,41,Lottery,0,0,27.9
Chicago Bulls,2012-2013,15,45,37,Second Round,2,0,27.1
New Orleans Pelicans,2012-2013,15,27,55,Lottery,0,0,23.9
Houston Rockets,2012-2013,15,45,37,First Round,1,0,23.6
Utah Jazz,2012-2013,15,43,39,Lottery,0,0,25.4
Brooklyn Nets,2012-2013,15,49,33,First Round,1,0,27.1
Los Angeles Clippers,2012-2013,15,56,26,First Round,2,0,28.6
New York Knicks,2012-2013,15,54,28,Second Round,2,0,30.3
Washington Wizards,2012-2013,15,29,53,Lottery,0,0,25.3
Portland Trail Blazers,2012-2013,14,33,49,Lottery,1,0,23.6
Minnesota Timberwolves,2012-2013,15,31,51,Lottery,0,0,25.5
Milwaukee Bucks,2012-2013,15,38,44,First Round,0,0,26.7
Cleveland Cavaliers,2012-2013,15,24,58,Lottery,1,0,24.5
Miami Heat,2012-2013,15,66,16,NBA Champion,3,1,30.4
Sacramento Kings,2012-2013,13,28,54,Lottery,0,0,24.9
San Antonio Spurs,2012-2013,15,58,24,NBA Finals (Loss),2,0,27.3
Los Angeles Lakers,2012-2013,15,45,37,First Round,2,0,27.9
Indiana Pacers,2012-2013,15,49,32,Conference Finals,1,0,25.1
New Orleans Pelicans,2011-2012,15,21,45,Lottery,0,0,24.7
Orlando Magic,2011-2012,15,37,29,First Round,1,0,25.6
Los Angeles Lakers,2011-2012,14,41,25,Second Round,2,0,26.2
Indiana Pacers,2011-2012,15,42,24,Second Round,1,0,25.9
Charlotte Hornets,2011-2012,14,7,59,Lottery,0,0,25.6
Toronto Raptors,2011-2012,14,23,43,Lottery,0,0,25.1
Memphis Grizzlies,2011-2012,15,41,25,First Round,1,0,24.9
Golden State Warriors,2011-2012,15,23,43,Lottery,0,0,25.2
San Antonio Spurs,2011-2012,15,50,16,Conference Finals,1,0,26.4
Oklahoma City Thunder,2011-2012,15,47,19,NBA Finals (Loss),2,0,25.5
Atlanta Hawks,2011-2012,15,40,26,First Round,1,0,29.1
Dallas Mavericks,2011-2012,15,36,30,First Round,1,0,29.1
Philadelphia Sixers,2011-2012,14,35,31,Second Round,1,0,24.5
Detroit Pistons,2011-2012,14,25,41,Lottery,0,0,26.5
Denver Nuggets,2011-2012,15,38,28,First Round,0,0,25.1
Phoenix Suns,2011-2012,13,33,33,Lottery,1,0,28.1
Boston Celtics,2011-2012,15,39,27,Conference Finals,2,0,27.3
Chicago Bulls,2011-2012,14,50,16,First Round,2,0,27.6
New Jersey Nets,2011-2012,15,22,44,Lottery,1,0,24.8
Los Angeles Clippers,2011-2012,15,40,26,Second Round,2,0,26.7
Portland Trail Blazers,2011-2012,15,28,38,Lottery,1,0,25.6
Minnesota Timberwolves,2011-2012,15,26,40,Lottery,1,0,24.3
Houston Rockets,2011-2012,15,34,32,Lottery,0,0,25.9
New York Knicks,2011-2012,14,36,30,First Round,1,0,26.9
Cleveland Cavaliers,2011-2012,15,21,45,Lottery,0,0,24.9
Utah Jazz,2011-2012,15,36,30,First Round,0,0,25.7
Milwaukee Bucks,2011-2012,15,31,35,Lottery,0,0,25
Miami Heat,2011-2012,15,46,20,NBA Champion,3,1,28.1
Washington Wizards,2011-2012,15,20,46,Lottery,0,0,25.1
Sacramento Kings,2011-2012,14,22,44,Lottery,0,0,24
Portland Trail Blazers,2010-2011,15,48,34,First Round,0,0,24.9
New Orleans Pelicans,2010-2011,15,46,36,First Round,1,0,26.2
Boston Celtics,2010-2011,15,56,26,Second Round,4,0,28.2
Indiana Pacers,2010-2011,15,37,45,First Round,0,0,25.5
Utah Jazz,2010-2011,14,39,43,Lottery,1,0,26.2
Charlotte Hornets,2010-2011,15,34,48,Lottery,0,0,26.3
Cleveland Cavaliers,2010-2011,15,19,63,Lottery,0,0,25.2
Memphis Grizzlies,2010-2011,14,46,36,Second Round,0,0,24.3
Toronto Raptors,2010-2011,15,22,60,Lottery,0,0,23.8
Oklahoma City Thunder,2010-2011,15,55,27,Conference Finals,2,0,24.1
Atlanta Hawks,2010-2011,15,44,38,Second Round,2,0,26.4
Golden State Warriors,2010-2011,14,36,46,Lottery,0,0,25
Washington Wizards,2010-2011,15,23,59,Lottery,0,0,24.4
Philadelphia Sixers,2010-2011,15,41,41,First Round,0,0,26
Detroit Pistons,2010-2011,15,30,52,Lottery,0,0,26
Dallas Mavericks,2010-2011,15,57,25,NBA Champion,1,0,28.6
Phoenix Suns,2010-2011,14,40,42,Lottery,0,0,27.2
New Jersey Nets,2010-2011,15,24,58,Lottery,0,0,24.6
Denver Nuggets,2010-2011,14,50,32,First Round,1,0,25.8
Chicago Bulls,2010-2011,15,62,20,Conference Finals,1,1,27.5
Los Angeles Clippers,2010-2011,14,32,50,Lottery,1,0,24.4
Milwaukee Bucks,2010-2011,14,35,47,Lottery,0,0,26.3
Minnesota Timberwolves,2010-2011,13,17,65,Lottery,1,0,23.2
New York Knicks,2010-2011,15,42,40,First Round,1,0,26.2
Los Angeles Lakers,2010-2011,15,57,25,Second Round,2,0,28.7
Orlando Magic,2010-2011,13,52,30,First Round,1,0,26.3
Houston Rockets,2010-2011,15,43,39,Lottery,1,0,24.8
San Antonio Spurs,2010-2011,15,61,21,First Round,2,0,26.7
Miami Heat,2010-2011,15,58,24,NBA Finals (Loss),3,0,29.4
Sacramento Kings,2010-2011,14,24,58,Lottery,0,0,24
Portland Trail Blazers,2009-2010,15,50,32,First Round,1,0,25.2
Sacramento Kings,2009-2010,13,25,57,Lottery,0,0,24.1
Boston Celtics,2009-2010,15,50,32,NBA Finals (Loss),3,0,28.1
Indiana Pacers,2009-2010,14,32,50,Lottery,0,0,25.8
Utah Jazz,2009-2010,13,53,29,Second Round,1,0,24.5
Charlotte Hornets,2009-2010,15,44,38,First Round,1,0,26.1
Chicago Bulls,2009-2010,15,41,41,First Round,1,0,25.5
New Orleans Pelicans,2009-2010,13,37,45,Lottery,1,0,27
Minnesota Timberwolves,2009-2010,15,15,67,Lottery,0,0,24
Memphis Grizzlies,2009-2010,15,40,42,Lottery,1,0,23.8
Oklahoma City Thunder,2009-2010,15,50,32,First Round,1,0,23.8
Atlanta Hawks,2009-2010,13,53,29,Second Round,2,0,26.3
Washington Wizards,2009-2010,16,26,56,Lottery,0,0,25.9
