Team,Season,Total Roster,Wins,Losses,Team Achievement,All-Star,MVP,Avg. Age
New Jersey Nets,2009-2010,14,12,70,Lottery,0,0,25.4
Philadelphia Sixers,2009-2010,14,27,55,Lottery,1,0,25.4
Detroit Pistons,2009-2010,14,27,55,Lottery,0,0,26.4
Phoenix Suns,2009-2010,14,54,28,Conference Finals,2,0,26.4
Golden State Warriors,2009-2010,15,26,56,Lottery,0,0,24.4
New York Knicks,2009-2010,14,29,53,Lottery,1,0,25.4
Toronto Raptors,2009-2010,15,40,42,Lottery,1,0,25.2
Miami Heat,2009-2010,16,47,35,First Round,1,0,26.4
Houston Rockets,2009-2010,15,42,40,Lottery,0,0,25.3
Denver Nuggets,2009-2010,15,53,29,First Round,2,0,26.7
Los Angeles Clippers,2009-2010,14,29,53,Lottery,1,0,25.6
Milwaukee Bucks,2009-2010,15,46,36,First Round,0,0,27.4
Los Angeles Lakers,2009-2010,13,57,25,NBA Champion,2,0,26.9
Orlando Magic,2009-2010,13,59,23,Conference Finals,1,0,27.8
Cleveland Cavaliers,2009-2010,15,61,21,Second Round,1,1,27.1
San Antonio Spurs,2009-2010,15,50,32,Second Round,1,0,26.1
Dallas Mavericks,2009-2010,13,55,27,First Round,2,0,29.6
Portland Trail Blazers,2008-2009,15,54,28,First Round,1,0,24
Houston Rockets,2008-2009,15,53,29,Second Round,1,0,27.4
Boston Celtics,2008-2009,15,62,20,Second Round,3,0,26.6
Golden State Warriors,2008-2009,14,29,53,Lottery,0,0,23.6
Indiana Pacers,2008-2009,15,36,46,Lottery,1,0,26.4
Utah Jazz,2008-2009,15,48,34,First Round,0,0,25.2
Chicago Bulls,2008-2009,15,41,41,First Round,0,0,26.4
Milwaukee Bucks,2008-2009,15,34,48,Lottery,0,0,26.5
Memphis Grizzlies,2008-2009,14,24,58,Lottery,0,0,24.7
Washington Wizards,2008-2009,15,19,63,Lottery,0,0,26
Los Angeles Lakers,2008-2009,14,65,17,NBA Champion,2,0,25.2
San Antonio Spurs,2008-2009,15,54,28,First Round,2,0,29
New Orleans Pelicans,2008-2009,14,49,33,First Round,2,0,28.2
Oklahoma City Thunder,2008-2009,15,23,59,Lottery,0,0,25.1
Atlanta Hawks,2008-2009,15,47,35,Second Round,1,0,24.6
Los Angeles Clippers,2008-2009,14,19,63,Lottery,0,0,25.8
New Jersey Nets,2008-2009,14,34,48,Lottery,1,0,24.8
Philadelphia Sixers,2008-2009,14,41,41,First Round,0,0,26.5
Detroit Pistons,2008-2009,13,39,43,First Round,1,0,26.7
Minnesota Timberwolves,2008-2009,15,24,58,Lottery,0,0,25.7
Phoenix Suns,2008-2009,13,46,36,Lottery,2,0,27
New York Knicks,2008-2009,15,32,50,Lottery,0,0,24.9
Miami Heat,2008-2009,15,43,39,First Round,1,0,25.5
Charlotte Hornets,2008-2009,15,35,47,Lottery,0,0,25.5
Toronto Raptors,2008-2009,15,33,49,Lottery,1,0,25.3
Orlando Magic,2008-2009,14,59,23,NBA Finals (Loss),3,0,27.5
Sacramento Kings,2008-2009,13,17,65,Lottery,0,0,25.5
Dallas Mavericks,2008-2009,15,50,32,Second Round,1,0,27.3
Denver Nuggets,2008-2009,14,54,28,Conference Finals,1,0,26.2
Cleveland Cavaliers,2008-2009,15,66,16,Conference Finals,2,1,26.3
Portland Trail Blazers,2007-2008,14,41,41,Lottery,1,0,23.2
Houston Rockets,2007-2008,15,55,27,First Round,1,0,27.5
Boston Celtics,2007-2008,15,66,16,NBA Champion,3,0,27.8
Charlotte Hornets,2007-2008,14,32,50,Lottery,0,0,25.7
Utah Jazz,2007-2008,14,54,28,Second Round,1,0,24.5
Chicago Bulls,2007-2008,15,33,49,Lottery,0,0,23.2
Minnesota Timberwolves,2007-2008,14,22,60,Lottery,0,0,25.2
Philadelphia Sixers,2007-2008,14,40,42,First Round,0,0,24.8
Milwaukee Bucks,2007-2008,14,26,56,Lottery,0,0,25.9
Phoenix Suns,2007-2008,14,55,27,First Round,2,0,28.9
Denver Nuggets,2007-2008,14,50,32,First Round,2,0,26.5
Washington Wizards,2007-2008,13,43,39,First Round,2,0,25.8
Los Angeles Clippers,2007-2008,15,23,59,Lottery,0,0,25.6
New Orleans Pelicans,2007-2008,14,56,26,Second Round,2,0,27
Memphis Grizzlies,2007-2008,14,22,60,Lottery,0,0,24.8
Seattle SuperSonics,2007-2008,15,20,62,Lottery,0,0,25.2
Atlanta Hawks,2007-2008,13,37,45,First Round,1,0,23.5
Detroit Pistons,2007-2008,15,59,23,Conference Finals,3,0,27.3
Golden State Warriors,2007-2008,14,48,34,Lottery,0,0,24.1
New Jersey Nets,2007-2008,14,34,48,Lottery,1,0,26.2
New York Knicks,2007-2008,15,23,59,Lottery,0,0,25.4
Miami Heat,2007-2008,17,15,67,Lottery,1,0,26
Toronto Raptors,2007-2008,14,41,41,First Round,1,0,26.1
Sacramento Kings,2007-2008,14,38,44,Lottery,0,0,26.9
Orlando Magic,2007-2008,15,52,30,Second Round,1,0,26.5
Indiana Pacers,2007-2008,15,36,46,Lottery,0,0,25.8
Los Angeles Lakers,2007-2008,15,57,25,NBA Finals (Loss),1,1,25.6
Cleveland Cavaliers,2007-2008,15,45,37,Second Round,1,0,27.4
Dallas Mavericks,2007-2008,15,51,31,First Round,1,0,28.9
San Antonio Spurs,2007-2008,15,56,26,Conference Finals,1,0,30.6
Chicago Bulls,2006-2007,15,49,33,Second Round,0,0,25
Golden State Warriors,2006-2007,14,42,40,Second Round,0,0,24.6
Los Angeles Clippers,2006-2007,15,40,42,Lottery,0,0,25.9
Milwaukee Bucks,2006-2007,15,28,54,Lottery,0,0,24.8
Atlanta Hawks,2006-2007,15,30,52,Lottery,1,0,24.4
Utah Jazz,2006-2007,13,51,31,Conference Finals,2,0,24.7
New Orleans Pelicans,2006-2007,15,39,43,Lottery,0,0,25.2
Charlotte Hornets,2006-2007,15,33,49,Lottery,0,0,25.8
Portland Trail Blazers,2006-2007,15,32,50,Lottery,0,0,24.1
Toronto Raptors,2006-2007,15,47,35,First Round,1,0,25.5
Cleveland Cavaliers,2006-2007,15,50,32,NBA Finals (Loss),1,0,26.8
Memphis Grizzlies,2006-2007,14,22,60,Lottery,0,0,25
Seattle SuperSonics,2006-2007,15,31,51,Lottery,1,0,25.1
Sacramento Kings,2006-2007,13,33,49,Lottery,0,0,26.4
Orlando Magic,2006-2007,15,40,42,First Round,1,0,25.6
New Jersey Nets,2006-2007,15,41,41,Second Round,2,0,26
Minnesota Timberwolves,2006-2007,13,32,50,Lottery,1,0,26.3
New York Knicks,2006-2007,15,33,49,Lottery,0,0,25.3
Philadelphia Sixers,2006-2007,14,35,47,Lottery,0,0,25.3
Dallas Mavericks,2006-2007,15,67,15,First Round,2,1,27.5
Indiana Pacers,2006-2007,15,35,47,Lottery,1,0,26
Los Angeles Lakers,2006-2007,15,42,40,First Round,1,0,25.2
Boston Celtics,2006-2007,15,24,58,Lottery,0,0,24.3
San Antonio Spurs,2006-2007,15,58,24,NBA Champion,2,0,28.7
Houston Rockets,2006-2007,15,52,30,First Round,2,0,27.1
Detroit Pistons,2006-2007,15,53,29,Conference Finals,2,0,27.8
Denver Nuggets,2006-2007,15,45,37,First Round,2,0,25.3
Washington Wizards,2006-2007,15,41,41,First Round,2,0,26
Miami Heat,2006-2007,15,44,38,First Round,2,0,28.2
Phoenix Suns,2006-2007,14,61,21,Second Round,3,0,28.5
Indiana Pacers,2005-2006,14,41,41,First Round,1,0,26.7
Los Angeles Clippers,2005-2006,15,47,35,Second Round,1,0,26.1
Milwaukee Bucks,2005-2006,15,40,42,First Round,0,0,26.1
Atlanta Hawks,2005-2006,13,26,56,Lottery,0,0,22.5
Utah Jazz,2005-2006,14,41,41,Lottery,0,0,24.1
New Orleans Pelicans,2005-2006,15,38,44,Lottery,0,0,26
Charlotte Hornets,2005-2006,14,26,56,Lottery,0,0,24.4
Portland Trail Blazers,2005-2006,14,21,61,Lottery,0,0,24
Toronto Raptors,2005-2006,14,27,55,Lottery,1,0,25.9
New York Knicks,2005-2006,15,23,59,Lottery,0,0,25.4
Golden State Warriors,2005-2006,14,34,48,Lottery,0,0,24.3
Los Angeles Lakers,2005-2006,15,45,37,First Round,1,0,24.5
Orlando Magic,2005-2006,15,36,46,Lottery,0,0,25.9
Boston Celtics,2005-2006,14,33,49,Lottery,1,0,24.1
Minnesota Timberwolves,2005-2006,14,33,49,Lottery,1,0,25.4
Washington Wizards,2005-2006,15,42,40,First Round,1,0,25.2
Philadelphia Sixers,2005-2006,13,38,44,Lottery,1,0,24.9
Cleveland Cavaliers,2005-2006,15,50,32,Second Round,1,0,25.7
Memphis Grizzlies,2005-2006,15,49,33,First Round,1,0,26.7
Detroit Pistons,2005-2006,15,64,18,Conference Finals,4,0,27.5
Phoenix Suns,2005-2006,14,54,28,Conference Finals,2,1,26.5
Houston Rockets,2005-2006,15,34,48,Lottery,2,0,27.8
New Jersey Nets,2005-2006,15,49,33,Second Round,1,0,27.4
Chicago Bulls,2005-2006,15,41,41,First Round,0,0,25
Dallas Mavericks,2005-2006,15,60,22,NBA Finals (Loss),1,0,26.1
San Antonio Spurs,2005-2006,14,63,19,Second Round,2,0,29
Seattle SuperSonics,2005-2006,13,35,47,Lottery,1,0,24.7
Denver Nuggets,2005-2006,15,44,38,First Round,0,0,26.4
Sacramento Kings,2005-2006,14,44,38,First Round,0,0,25.8
Miami Heat,2005-2006,15,52,30,NBA Champion,2,0,27.6
Los Angeles Clippers,2004-2005,14,37,45,Lottery,0,0,25.3
Phoenix Suns,2004-2005,12,62,20,Conference Finals,3,1,26.2
New York Knicks,2004-2005,14,33,49,Lottery,0,0,26.5
Chicago Bulls,2004-2005,15,47,35,First Round,0,0,25.4
Portland Trail Blazers,2004-2005,14,27,55,Lottery,0,0,25.1
Indiana Pacers,2004-2005,16,44,38,Second Round,1,0,26.7
Washington Wizards,2004-2005,15,45,37,Second Round,2,0,24.7
Seattle SuperSonics,2004-2005,14,52,30,Second Round,2,0,25.1
Toronto Raptors,2004-2005,15,33,49,Lottery,0,0,26.8
Sacramento Kings,2004-2005,14,50,32,First Round,0,0,26.7
Memphis Grizzlies,2004-2005,15,45,37,First Round,0,0,25.1
Houston Rockets,2004-2005,15,51,31,First Round,2,0,30.4
Orlando Magic,2004-2005,16,36,46,Lottery,1,0,26.7
New Jersey Nets,2004-2005,14,42,40,First Round,1,0,27.1
Detroit Pistons,2004-2005,14,54,28,NBA Finals (Loss),1,0,27.2
New Orleans Pelicans,2004-2005,13,18,64,Lottery,0,0,25.2
Philadelphia Sixers,2004-2005,15,43,39,First Round,1,0,26.5
Cleveland Cavaliers,2004-2005,15,42,40,Lottery,2,0,25.6
Los Angeles Lakers,2004-2005,15,34,48,Lottery,1,0,25.8
Milwaukee Bucks,2004-2005,14,30,52,Lottery,0,0,26.3
Atlanta Hawks,2004-2005,15,13,69,Lottery,0,0,26.2
Charlotte Hornets,2004-2005,14,18,64,Lottery,0,0,24.5
Golden State Warriors,2004-2005,12,34,48,Lottery,0,0,24.3
Dallas Mavericks,2004-2005,15,58,24,Second Round,1,0,27
San Antonio Spurs,2004-2005,15,59,23,NBA Champion,2,0,27.9
Miami Heat,2004-2005,15,59,23,Conference Finals,2,0,27.5
Boston Celtics,2004-2005,12,45,37,First Round,1,0,24.5
Minnesota Timberwolves,2004-2005,14,44,38,Lottery,1,0,28.3
Denver Nuggets,2004-2005,15,49,33,First Round,0,0,27.2
Utah Jazz,2004-2005,15,26,56,Lottery,0,0,25.1
Los Angeles Clippers,2003-2004,14,28,54,Lottery,0,0,23.9
Phoenix Suns,2003-2004,13,29,53,Lottery,0,0,23.7
Chicago Bulls,2003-2004,15,23,59,Lottery,0,0,25.8
Portland Trail Blazers,2003-2004,15,41,41,Lottery,0,0,25.3
San Antonio Spurs,2003-2004,15,57,25,Second Round,1,0,27.3
Indiana Pacers,2003-2004,15,61,21,Conference Finals,2,0,25.9
Washington Wizards,2003-2004,14,25,57,Lottery,0,0,25.1
Seattle SuperSonics,2003-2004,15,37,45,Lottery,1,0,25.2
Miami Heat,2003-2004,15,42,40,Second Round,0,0,25.9
Sacramento Kings,2003-2004,13,55,27,Second Round,2,0,28.4
Memphis Grizzlies,2003-2004,15,50,32,First Round,0,0,24.5
Houston Rockets,2003-2004,13,45,37,First Round,2,0,28.1
Orlando Magic,2003-2004,15,21,61,Lottery,1,0,25.1
New York Knicks,2003-2004,15,39,43,First Round,0,0,27.6
New Jersey Nets,2003-2004,14,47,35,Second Round,2,0,27.2
Golden State Warriors,2003-2004,15,37,45,Lottery,0,0,27.5
Detroit Pistons,2003-2004,13,54,28,NBA Champion,1,0,27
Philadelphia Sixers,2003-2004,15,33,49,Lottery,1,0,27
Dallas Mavericks,2003-2004,15,52,30,First Round,1,0,27.2
Toronto Raptors,2003-2004,15,33,49,Lottery,1,0,27.4
Milwaukee Bucks,2003-2004,13,41,41,First Round,1,0,26.2
Utah Jazz,2003-2004,14,42,40,Lottery,1,0,24.9
Los Angeles Lakers,2003-2004,14,56,26,NBA Finals (Loss),2,0,28.3
Cleveland Cavaliers,2003-2004,14,35,47,Lottery,0,0,24.8
Minnesota Timberwolves,2003-2004,14,58,24,Conference Finals,2,1,28.6
Atlanta Hawks,2003-2004,15,28,54,Lottery,0,0,26.7
New Orleans Pelicans,2003-2004,14,41,41,First Round,2,0,29.1
Denver Nuggets,2003-2004,15,43,39,First Round,0,0,25.6
Boston Celtics,2003-2004,15,36,46,First Round,1,0,25.2
Phoenix Suns,2002-2003,14,44,38,First Round,2,0,25.8
Chicago Bulls,2002-2003,15,30,52,Lottery,0,0,24.5
Portland Trail Blazers,2002-2003,15,50,32,First Round,0,0,28.2
Los Angeles Clippers,2002-2003,15,27,55,Lottery,0,0,24.8
San Antonio Spurs,2002-2003,13,60,22,NBA Champion,1,1,29.3
Indiana Pacers,2002-2003,15,48,34,First Round,2,0,25.4
Washington Wizards,2002-2003,14,37,45,Lottery,1,0,26.5
Seattle SuperSonics,2002-2003,14,40,42,Lottery,1,0,25.5
Toronto Raptors,2002-2003,16,24,58,Lottery,1,0,27.6
Minnesota Timberwolves,2002-2003,15,51,31,First Round,1,0,27.5
Sacramento Kings,2002-2003,15,59,23,Second Round,2,0,27.5
Memphis Grizzlies,2002-2003,14,28,54,Lottery,0,0,24
Houston Rockets,2002-2003,14,43,39,Lottery,2,0,25
Orlando Magic,2002-2003,14,42,40,First Round,1,0,26.1
New Jersey Nets,2002-2003,14,49,33,NBA Finals (Loss),1,0,26.9
Philadelphia Sixers,2002-2003,15,48,34,Second Round,1,0,26.7
Detroit Pistons,2002-2003,15,50,32,Conference Finals,1,0,28.5
New York Knicks,2002-2003,15,37,45,Lottery,0,0,28
Atlanta Hawks,2002-2003,15,35,47,Lottery,0,0,26.4
Utah Jazz,2002-2003,15,47,35,First Round,0,0,28.1
Golden State Warriors,2002-2003,12,38,44,Lottery,0,0,24.7
Miami Heat,2002-2003,15,25,57,Lottery,0,0,26.4
Milwaukee Bucks,2002-2003,13,42,40,First Round,0,0,27.2
Los Angeles Lakers,2002-2003,13,50,32,Second Round,2,0,27.1
Cleveland Cavaliers,2002-2003,12,17,65,Lottery,1,0,22.3
Dallas Mavericks,2002-2003,15,60,22,Conference Finals,2,0,28.5
Denver Nuggets,2002-2003,14,17,65,Lottery,0,0,23.3
New Orleans Pelicans,2002-2003,14,47,35,First Round,1,0,27.9
Boston Celtics,2002-2003,14,44,38,Second Round,2,0,27.7
Phoenix Suns,2001-2002,14,36,46,Lottery,0,0,25.7
Chicago Bulls,2001-2002,13,21,61,Lottery,0,0,24.1
Portland Trail Blazers,2001-2002,15,49,33,First Round,0,0,28.2
Los Angeles Clippers,2001-2002,15,39,43,Lottery,1,0,24.6
San Antonio Spurs,2001-2002,15,58,24,Second Round,1,1,28.4
Seattle SuperSonics,2001-2002,15,45,37,First Round,1,0,25
Milwaukee Bucks,2001-2002,14,41,41,Lottery,1,0,27.9
Minnesota Timberwolves,2001-2002,15,50,32,First Round,2,0,26.5
Sacramento Kings,2001-2002,13,61,21,Conference Finals,2,0,26.9
Memphis Grizzlies,2001-2002,14,23,59,Lottery,0,0,25.3
Houston Rockets,2001-2002,15,28,54,Lottery,1,0,25.7
Orlando Magic,2001-2002,15,44,38,First Round,1,0,27.8
Philadelphia Sixers,2001-2002,15,43,39,First Round,2,0,26.6
Washington Wizards,2001-2002,14,37,45,Lottery,1,0,25.9
New Jersey Nets,2001-2002,14,52,30,NBA Finals (Loss),1,0,25.3
Detroit Pistons,2001-2002,15,50,32,Second Round,0,0,27.5
Denver Nuggets,2001-2002,15,27,55,Lottery,0,0,26.4
Los Angeles Lakers,2001-2002,13,58,24,NBA Champion,2,0,27.5
Atlanta Hawks,2001-2002,16,33,49,Lottery,1,0,25.6
Golden State Warriors,2001-2002,14,21,61,Lottery,0,0,25.4
Utah Jazz,2001-2002,14,44,38,First Round,1,0,28.3
Indiana Pacers,2001-2002,15,42,40,First Round,1,0,24.1
Cleveland Cavaliers,2001-2002,15,29,53,Lottery,0,0,25.4
Dallas Mavericks,2001-2002,15,57,25,Second Round,2,0,27.8
Toronto Raptors,2001-2002,16,42,40,First Round,1,0,28
Miami Heat,2001-2002,15,36,46,Lottery,1,0,27.9
Charlotte Hornets (1988),2001-2002,14,44,38,Second Round,1,0,27.4
New York Knicks,2001-2002,14,30,52,Lottery,0,0,29.2
Boston Celtics,2001-2002,15,49,33,Conference Finals,2,0,25.1
Chicago Bulls,2000-2001,15,15,67,Lottery,0,0,22.7
Los Angeles Clippers,2000-2001,15,31,51,Lottery,0,0,24.1
San Antonio Spurs,2000-2001,15,58,24,Conference Finals,2,0,29.1
Milwaukee Bucks,2000-2001,15,52,30,Conference Finals,2,0,26.7
Sacramento Kings,2000-2001,14,55,27,Second Round,2,0,27
Houston Rockets,2000-2001,14,45,37,Lottery,0,0,26.3
Orlando Magic,2000-2001,14,43,39,First Round,2,0,26.1
Philadelphia Sixers,2000-2001,15,56,26,NBA Finals (Loss),2,1,25.9
Detroit Pistons,2000-2001,14,32,50,Lottery,1,0,26.8
Minnesota Timberwolves,2000-2001,15,47,35,First Round,1,0,27.2
Denver Nuggets,2000-2001,15,40,42,Lottery,1,0,27.5
Portland Trail Blazers,2000-2001,15,50,32,First Round,1,0,30.4
Washington Wizards,2000-2001,15,19,63,Lottery,0,0,26.7
Atlanta Hawks,2000-2001,13,25,57,Lottery,1,0,24.4
Golden State Warriors,2000-2001,16,17,65,Lottery,0,0,26.3
Utah Jazz,2000-2001,14,53,29,First Round,1,0,29.4
Seattle SuperSonics,2000-2001,12,44,38,Lottery,1,0,26.6
Indiana Pacers,2000-2001,15,41,41,First Round,0,0,26.6
Vancouver Grizzlies,2000-2001,14,23,59,Lottery,0,0,27.9
Cleveland Cavaliers,2000-2001,15,30,52,Lottery,0,0,26.6
Dallas Mavericks,2000-2001,15,53,29,Second Round,1,0,25.8
Los Angeles Lakers,2000-2001,15,56,26,NBA Champion,2,0,27.6
Miami Heat,2000-2001,15,50,32,First Round,2,0,29
Toronto Raptors,2000-2001,13,47,35,Second Round,2,0,27.9
New Jersey Nets,2000-2001,18,26,56,Lottery,1,0,26.7
Boston Celtics,2000-2001,15,36,46,Lottery,0,0,25.4
Phoenix Suns,2000-2001,13,51,31,First Round,1,0,28.7
Charlotte Hornets (1988),2000-2001,14,46,36,Second Round,0,0,28.3
New York Knicks,2000-2001,15,48,34,First Round,2,0,29.1
San Antonio Spurs,1999-2000,14,53,29,First Round,2,0,29.8
Milwaukee Bucks,1999-2000,14,42,40,First Round,2,0,26.6
Minnesota Timberwolves,1999-2000,13,50,32,First Round,1,0,26.5
Houston Rockets,1999-2000,15,34,48,Lottery,0,0,27.4
Toronto Raptors,1999-2000,15,45,37,First Round,1,0,28
Atlanta Hawks,1999-2000,12,28,54,Lottery,1,0,25.4
Philadelphia Sixers,1999-2000,14,49,33,Second Round,1,0,25.9
Orlando Magic,1999-2000,15,41,41,Lottery,0,0,24.8
Denver Nuggets,1999-2000,14,35,47,Lottery,0,0,25.8
Portland Trail Blazers,1999-2000,15,59,23,Conference Finals,1,0,29
Washington Wizards,1999-2000,15,29,53,Lottery,0,0,26.6
Detroit Pistons,1999-2000,14,42,40,First Round,2,0,28.4
Golden State Warriors,1999-2000,16,19,63,Lottery,0,0,26.2
Chicago Bulls,1999-2000,13,17,65,Lottery,0,0,26
Indiana Pacers,1999-2000,14,56,26,NBA Finals (Loss),2,0,28.4
Dallas Mavericks,1999-2000,15,40,42,Lottery,1,0,26
Cleveland Cavaliers,1999-2000,15,32,50,Lottery,0,0,25.6
Utah Jazz,1999-2000,12,55,27,Second Round,2,0,29.5
Los Angeles Lakers,1999-2000,14,67,15,NBA Champion,2,1,27.7
Seattle SuperSonics,1999-2000,15,45,37,First Round,1,0,27.4
Miami Heat,1999-2000,15,52,30,Second Round,1,0,27.7
New Jersey Nets,1999-2000,14,31,51,Lottery,0,0,27.6
Boston Celtics,1999-2000,14,35,47,Lottery,0,0,26.1
Charlotte Hornets (1988),1999-2000,14,49,33,First Round,1,0,27.5
Phoenix Suns,1999-2000,15,53,29,Second Round,1,0,28
Vancouver Grizzlies,1999-2000,14,22,60,Lottery,0,0,26.7
Los Angeles Clippers,1999-2000,14,15,67,Lottery,0,0,25
New York Knicks,1999-2000,13,50,32,Conference Finals,1,0,29.7
Sacramento Kings,1999-2000,14,44,38,First Round,1,0,27.5
